drugName,condition,review,rating,usefulCount
Paracetamol,Arthritis,I had headaches & nausea while taking this for Arthritis.,2,81
Metformin,Hypertension,<div>Side effects were bad when I used this for Hypertension</div>,1,23
Sertraline,Back Pain,"good results for Back Pain, will continue using.",9,39
Fluoxetine,Arthritis,<div>Side effects were bad when I used this for Arthritis</div>,6,57
Fluoxetine,Back Pain,Doctor prescribed this for Back Pain and it actually helped :),7,43
Atorvastatin,Diabetes,not effective for my Diabetes :(,4,55
Gabapentin,Diabetes,Waste of money for Diabetes treatment...,2,61
Amlodipine,,I feel much better now after using this medicine for Acne.,8,30
Azithromycin,Infection,I had headaches & nausea while taking this for Infection.,3,17
Metformin,Depression,I feel much better now after using this medicine for Depression.,10,34
Amlodipine,Migraine,Terrible experience!! didn't help my Migraine at all.,2,51
Metformin,Acne,,1,28
Azithromycin,GERD,Waste of money for GERD treatment...,5,24
Sertraline,Infection,Doctor prescribed this for Infection and it actually helped :),10,42
Fluoxetine,GERD,not effective for my GERD :(,2,67
Paracetamol,Anxiety,THIS DRUG worked GREAT for my Anxiety!!!,10,62
Atorvastatin,Asthma,<p>This medication improved my Asthma a lot</p>,10,60
Paracetamol,Back Pain,THIS DRUG worked GREAT for my Back Pain!!!,7,43
Omeprazole,Anxiety,THIS DRUG worked GREAT for my Anxiety!!!,10,37
Ciprofloxacin,Hypertension,not effective for my Hypertension :(,4,100
Ciprofloxacin,Acne,<p>This medication improved my Acne a lot</p>,10,77
Fluoxetine,Acne,THIS DRUG worked GREAT for my Acne!!!,8,30
Lisinopril,Back Pain,"good results for Back Pain, will continue using.",9,22
Amoxicillin,Arthritis,THIS DRUG worked GREAT for my Arthritis!!!,10,80
Azithromycin,Acne,I feel much better now after using this medicine for Acne.,9,75
Paracetamol,Asthma,not effective for my Asthma :(,5,66
Amlodipine,Hypertension,<p>This medication improved my Hypertension a lot</p>,8,30
Ciprofloxacin,Depression,Terrible experience!! didn't help my Depression at all.,1,25
Lisinopril,Insomnia,I feel much better now after using this medicine for Insomnia.,8,38
Atorvastatin,Insomnia,THIS DRUG worked GREAT for my Insomnia!!!,7,11
Ciprofloxacin,Hypertension,<p>This medication improved my Hypertension a lot</p>,8,83
Amlodipine,Hypertension,Terrible experience!! didn't help my Hypertension at all.,4,90
Gabapentin,GERD,,8,57
Amlodipine,Hypertension,<p>This medication improved my Hypertension a lot</p>,9,83
Atorvastatin,Migraine,"good results for Migraine, will continue using.",10,64
Atorvastatin,Depression,Doctor prescribed this for Depression and it actually helped :),10,0
Gabapentin,Asthma,Waste of money for Asthma treatment...,4,47
Ciprofloxacin,Asthma,<div>Side effects were bad when I used this for Asthma</div>,3,79
Prednisone,Arthritis,THIS DRUG worked GREAT for my Arthritis!!!,9,97
Amlodipine,Insomnia,Terrible experience!! didn't help my Insomnia at all.,1,63
Atorvastatin,Back Pain,I had headaches & nausea while taking this for Back Pain.,2,57
Omeprazole,,Terrible experience!! didn't help my Infection at all.,6,78
Sertraline,Insomnia,<p>This medication improved my Insomnia a lot</p>,10,4
Prednisone,Back Pain,Doctor prescribed this for Back Pain and it actually helped :),7,61
Doxycycline,Hypertension,<div>Side effects were bad when I used this for Hypertension</div>,5,28
Amoxicillin,Back Pain,I had headaches & nausea while taking this for Back Pain.,1,17
Ibuprofen,Diabetes,Waste of money for Diabetes treatment...,6,3
Gabapentin,Insomnia,<div>Side effects were bad when I used this for Insomnia</div>,1,3
Atorvastatin,GERD,I had headaches & nausea while taking this for GERD.,4,49
Ciprofloxacin,Diabetes,"good results for Diabetes, will continue using.",7,47
Amlodipine,Migraine,not effective for my Migraine :(,2,35
Metformin,Migraine,Waste of money for Migraine treatment...,6,27
Prednisone,Diabetes,Waste of money for Diabetes treatment...,5,69
Azithromycin,Insomnia,Terrible experience!! didn't help my Insomnia at all.,5,89
Sertraline,Arthritis,<p>This medication improved my Arthritis a lot</p>,10,6
Prednisone,Acne,<div>Side effects were bad when I used this for Acne</div>,5,18
Fluoxetine,Anxiety,<p>This medication improved my Anxiety a lot</p>,8,96
Amlodipine,Asthma,I had headaches & nausea while taking this for Asthma.,2,23
Azithromycin,Hypertension,THIS DRUG worked GREAT for my Hypertension!!!,9,45
Doxycycline,Migraine,Waste of money for Migraine treatment...,3,31
Ibuprofen,Asthma,I had headaches & nausea while taking this for Asthma.,5,41
Doxycycline,GERD,not effective for my GERD :(,1,81
Doxycycline,Allergy,Terrible experience!! didn't help my Allergy at all.,4,30
Atorvastatin,,"good results for Infection, will continue using.",8,70
Azithromycin,Hypertension,THIS DRUG worked GREAT for my Hypertension!!!,7,58
Gabapentin,Arthritis,Doctor prescribed this for Arthritis and it actually helped :),8,82
Azithromycin,Allergy,Waste of money for Allergy treatment...,3,13
Doxycycline,Asthma,THIS DRUG worked GREAT for my Asthma!!!,7,18
Sertraline,,not effective for my Acne :(,1,50
Lisinopril,Insomnia,<div>Side effects were bad when I used this for Insomnia</div>,2,67
Prednisone,Anxiety,Waste of money for Anxiety treatment...,2,65
Ciprofloxacin,GERD,<div>Side effects were bad when I used this for GERD</div>,1,35
Omeprazole,Depression,not effective for my Depression :(,3,31
Doxycycline,Allergy,I feel much better now after using this medicine for Allergy.,10,22
Prednisone,Acne,"good results for Acne, will continue using.",9,44
Sertraline,GERD,Terrible experience!! didn't help my GERD at all.,2,48
Azithromycin,Back Pain,I feel much better now after using this medicine for Back Pain.,10,53
Azithromycin,Allergy,"good results for Allergy, will continue using.",8,2
Ciprofloxacin,Hypertension,"good results for Hypertension, will continue using.",7,93
Amlodipine,GERD,Doctor prescribed this for GERD and it actually helped :),9,76
Metformin,Acne,"good results for Acne, will continue using.",7,89
Doxycycline,Infection,"good results for Infection, will continue using.",7,25
Ciprofloxacin,Anxiety,I feel much better now after using this medicine for Anxiety.,7,84
Amoxicillin,Acne,I had headaches & nausea while taking this for Acne.,6,96
Lisinopril,Arthritis,"good results for Arthritis, will continue using.",8,73
Gabapentin,Allergy,<div>Side effects were bad when I used this for Allergy</div>,1,90
Omeprazole,Hypertension,<p>This medication improved my Hypertension a lot</p>,7,98
Metformin,Diabetes,"good results for Diabetes, will continue using.",7,57
Azithromycin,,Terrible experience!! didn't help my Allergy at all.,4,54
Metformin,Diabetes,Waste of money for Diabetes treatment...,5,92
Amlodipine,Allergy,I feel much better now after using this medicine for Allergy.,10,5
Omeprazole,Arthritis,"good results for Arthritis, will continue using.",7,31
Fluoxetine,GERD,THIS DRUG worked GREAT for my GERD!!!,9,4
Azithromycin,Arthritis,Terrible experience!! didn't help my Arthritis at all.,6,40
Metformin,Hypertension,I had headaches & nausea while taking this for Hypertension.,5,48
Omeprazole,Insomnia,<div>Side effects were bad when I used this for Insomnia</div>,3,6
Prednisone,Allergy,Doctor prescribed this for Allergy and it actually helped :),10,38
Paracetamol,Anxiety,"good results for Anxiety, will continue using.",8,10
Gabapentin,Hypertension,"good results for Hypertension, will continue using.",7,84
Gabapentin,Back Pain,Terrible experience!! didn't help my Back Pain at all.,5,70
Atorvastatin,Insomnia,<div>Side effects were bad when I used this for Insomnia</div>,6,9
Lisinopril,Acne,THIS DRUG worked GREAT for my Acne!!!,7,6
Atorvastatin,Migraine,not effective for my Migraine :(,1,85
Omeprazole,Arthritis,"good results for Arthritis, will continue using.",8,80
Gabapentin,Migraine,"good results for Migraine, will continue using.",8,65
Gabapentin,GERD,,9,2
Azithromycin,Infection,I feel much better now after using this medicine for Infection.,9,78
Atorvastatin,Diabetes,Waste of money for Diabetes treatment...,3,67
Ibuprofen,Hypertension,Doctor prescribed this for Hypertension and it actually helped :),7,73
Doxycycline,,not effective for my Insomnia :(,2,21
